Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-002,MEDIUM,Long method — callErecaService() is 38 lines,SagaiWarrantyServiceImpl.java,598,D1,,NO
D1-002,MEDIUM,Long method — getResponseFromSagai() is 44 lines,SagaiWarrantyServiceImpl.java,849,D1,,NO
D1-002,MEDIUM,Long method — mapPcdSagaiResponse() is 45 lines,SagaiWarrantyServiceImpl.java,903,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarranty() is 52 lines,SagaiZosServiceImpl.java,87,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimsCentral() is 58 lines,SagaiZosServiceImpl.java,148,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimsLocal() is 59 lines,SagaiZosServiceImpl.java,215,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimDetails() is 40 lines,SagaiZosServiceImpl.java,289,D1,,NO
D1-003,LOW,Too many params — setSagaiWarrantyClaimDetails() has 6 parameters,SagaiZosServiceImpl.java,289,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyOvData() is 54 lines,SagaiZosServiceImpl.java,351,D1,,NO
D1-002,MEDIUM,Long method — setSagaiWarrantyClaimsData() is 79 lines,SagaiZosServiceImpl.java,415,D1,,NO
D1-002,MEDIUM,Long method — getVehiculeFromSagai() is 39 lines,SagaiZosServiceImpl.java,559,D1,,NO
D1-002,MEDIUM,Long method — getAlcdvForVin() is 67 lines,ThubServiceImpl.java,89,D1,,NO
D1-002,MEDIUM,Long method — mapAlcdvDataResponse() is 134 lines,ThubServiceImpl.java,197,D1,,NO
D1-002,MEDIUM,Long method — setDocToDisplayValue() is 77 lines,ThubServiceImpl.java,341,D1,,NO
D1-002,MEDIUM,Long method — calculateDocToDisplay() is 34 lines,ThubServiceImpl.java,429,D1,,NO
D1-002,MEDIUM,Long method — getAlcdvForCinVin() is 67 lines,ThubServiceImpl.java,518,D1,,NO
D1-002,MEDIUM,Long method — mapAlcdvDataResponseForCinVin() is 89 lines,ThubServiceImpl.java,598,D1,,NO
D1-002,MEDIUM,Long method — setResponseForDetailsTrue() is 89 lines,ThubServiceImpl.java,695,D1,,NO
D1-002,MEDIUM,Long method — callToThub() is 47 lines,ThubServiceImpl.java,826,D1,,NO
D7-001,LOW,Deprecated API — Date used in ThubServiceImpl,ThubServiceImpl.java,356,D7,,NO
D7-001,LOW,Deprecated API — Date used in ThubServiceImpl,ThubServiceImpl.java,357,D7,,NO
D7-001,LOW,Deprecated API — Date used in ThubServiceImpl,ThubServiceImpl.java,504,D7,,NO
D1-002,MEDIUM,Long method — callTraxioService() is 44 lines,TraxioServiceImpl.java,73,D1,,NO
D1-003,LOW,Too many params — constructJsonObjectString() has 6 parameters,TraxioServiceImpl.java,211,D1,,NO
D1-002,MEDIUM,Long method — getBrandFromCorvet() is 46 lines,VinBrandServiceImpl.java,99,D1,,NO
D1-002,MEDIUM,Long method — getBrandFromEsa() is 44 lines,VinBrandServiceImpl.java,152,D1,,NO
D1-001,MEDIUM,God class — 24 methods in VISServiceImpl,VISServiceImpl.java,0,D1,,NO
D1-002,MEDIUM,Long method — getVisResponse() is 54 lines,VISServiceImpl.java,104,D1,,NO
D1-002,MEDIUM,Long method — getLpnResponse() is 36 lines,VISServiceImpl.java,227,D1,,NO
D1-002,MEDIUM,Long method — createResponse() is 37 lines,VISServiceImpl.java,272,D1,,NO
D1-002,MEDIUM,Long method — mapCorvetVisResponse() is 38 lines,VISServiceImpl.java,483,D1,,NO
D1-002,MEDIUM,Long method — getVisResponseForNewFlow() is 43 lines,VISServiceImpl.java,564,D1,,NO
D1-004,LOW,Magic number 408 in getVisResponseForNewFlow(),VISServiceImpl.java,590,D1,,NO
D1-004,LOW,Magic number 406 in getVisResponseForNewFlow(),VISServiceImpl.java,593,D1,,NO
D1-002,MEDIUM,Long method — createResponseFromDatabase() is 35 lines,VISServiceImpl.java,635,D1,,NO
