Rule,Severity,Title,File,Line,Category,Affected Endpoint,Auto-Fixed
D1-004,LOW,Magic number 400 in submitBrandcareForm(),BrandcareResource.java,256,D1,,NO
D1-004,LOW,Magic number 206 in submitBrandcareForm(),BrandcareResource.java,288,D1,,NO
D1-004,LOW,Magic number 17 in isValidVin(),BrandcareResource.java,332,D1,,NO
D11-001,CRITICAL,Hardcoded credential — TOKEN in BrandcareResource,BrandcareResource.java,57,D11,,YES
D1-002,MEDIUM,Long method — getContract() is 38 lines,CountResource.java,91,D1,,NO
D1-002,MEDIUM,Long method — getService() is 37 lines,CountResource.java,136,D1,,NO
D1-003,LOW,Too many params — returnErrorResponse() has 8 parameters,CountResource.java,199,D1,,NO
D1-003,LOW,Too many params — createErrorFormat() has 8 parameters,CountResource.java,224,D1,,NO
D1-003,LOW,Too many params — errorLoggedResponse() has 8 parameters,CountResource.java,254,D1,,NO
D1-001,MEDIUM,God class — 58 methods in BrandCareFormEntity,BrandCareFormEntity.java,0,D1,,NO
D1-001,MEDIUM,God class — 28 methods in ContractEntity,ContractEntity.java,0,D1,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,55,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,59,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,75,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,131,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,140,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,149,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,158,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,203,D7,,NO
D7-001,LOW,Deprecated API — Date used in ContractEntity,ContractEntity.java,212,D7,,NO
D1-001,MEDIUM,God class — 24 methods in RepairerEntity,RepairerEntity.java,0,D1,,NO
D1-004,LOW,Magic number 31 in hashCode(),RepairerEntity.java,160,D1,,NO
D1-001,MEDIUM,God class — 24 methods in ServiceHistory,ServiceHistory.java,0,D1,,NO
D1-001,MEDIUM,God class — 22 methods in Operations,Operations.java,0,D1,,NO
D1-001,MEDIUM,God class — 22 methods in Services,Services.java,0,D1,,NO
D1-001,MEDIUM,God class — 32 methods in ServicesEntity,ServicesEntity.java,0,D1,,NO
D1-004,LOW,Magic number 31 in hashCode(),ServicesEntity.java,240,D1,,NO
D7-001,LOW,Deprecated API — Date used in ServicesEntity,ServicesEntity.java,42,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServicesEntity,ServicesEntity.java,57,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServicesEntity,ServicesEntity.java,121,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServicesEntity,ServicesEntity.java,130,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServicesEntity,ServicesEntity.java,148,D7,,NO
D7-001,LOW,Deprecated API — Date used in ServicesEntity,ServicesEntity.java,157,D7,,NO
D1-004,LOW,Magic number 31 in hashCode(),StatusResponse.java,61,D1,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,24,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,27,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,30,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,41,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,54,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,58,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,62,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,66,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,70,D7,,NO
D7-001,LOW,Deprecated API — Date used in UserLoginHistory,UserLoginHistory.java,74,D7,,NO
D11-001,CRITICAL,Hardcoded credential — TOKEN in AuthConstant,AuthConstant.java,31,D11,,YES
D11-001,CRITICAL,Hardcoded credential — API_KEY_NOT_VALIDATED in AuthConstant,AuthConstant.java,37,D11,,YES
D11-001,CRITICAL,Hardcoded credential — API_KEY in AuthConstant,AuthConstant.java,82,D11,,YES
D11-001,CRITICAL,Hardcoded credential — AUTHORIZATION_TOKEN in AuthConstant,AuthConstant.java,88,D11,,YES
